C,n_bits,solver,mean_test_score,std_test_score,rank_test_score,fhe_simulate_time_s
0.5,7,sag,1.0,0.0,1,0.000694983999892429
0.5,7,newton-cg,1.0,0.0,1,0.0008395000004384201
1.0,13,sag,1.0,0.0,1,0.0006685100006507128
1.0,10,newton-cg,1.0,0.0,1,0.0009104090004257159
1.0,10,sag,1.0,0.0,1,0.0009067000000868575
1.0,8,newton-cg,1.0,0.0,1,0.0007256989993038587
1.0,8,sag,1.0,0.0,1,0.0006622840001000441
1.0,7,newton-cg,1.0,0.0,1,0.0007002129996180884
1.0,7,sag,1.0,0.0,1,0.0006830120000813622
0.9,13,newton-cg,1.0,0.0,1,0.0006757999999535969
0.9,13,sag,1.0,0.0,1,0.0007059999998091371
0.9,10,newton-cg,1.0,0.0,1,0.0007187999999587191
0.9,10,sag,1.0,0.0,1,0.0006808999996792409
0.9,8,newton-cg,1.0,0.0,1,0.0007075000003169407
0.9,8,sag,1.0,0.0,1,0.0007629000001543318
0.9,7,newton-cg,1.0,0.0,1,0.0008802989996183896
0.9,7,sag,1.0,0.0,1,0.000825998999971489
0.5,13,newton-cg,1.0,0.0,1,0.0007280999998329207
0.5,13,sag,1.0,0.0,1,0.0007434999997713021
0.5,10,newton-cg,1.0,0.0,1,0.0006932000005690497
0.5,10,sag,1.0,0.0,1,0.0006461009998020018
0.5,8,newton-cg,1.0,0.0,1,0.0006536009996125358
0.5,8,sag,1.0,0.0,1,0.0007265000003826572
1.0,13,newton-cg,1.0,0.0,1,0.0006935000001249136
