n_bits,max_depth,n_estimators,mean_test_score,std_test_score,rank_test_score,fhe_simulate_time_s
8,3,30,1.0,0.0,1,0.006053699999938544
8,2,20,1.0,0.0,1,0.003912299999683455
5,3,30,1.0,0.0,1,0.005634799999825191
5,3,20,1.0,0.0,1,0.005059499999333639
7,1,30,1.0,0.0,1,0.0034752000001390115
5,3,10,1.0,0.0,1,0.003841899999315501
5,3,5,1.0,0.0,1,0.005005099999834783
8,1,20,1.0,0.0,1,0.003803200000220386
8,1,30,1.0,0.0,1,0.0034825000002456363
8,2,30,1.0,0.0,1,0.004258599999957369
8,2,10,1.0,0.0,1,0.0036221000000296044
6,1,20,1.0,0.0,1,0.003524499999912223
7,2,30,1.0,0.0,1,0.004280600000129198
7,2,20,1.0,0.0,1,0.0037826999996468658
7,2,10,1.0,0.0,1,0.0035069999994448153
6,2,30,1.0,0.0,1,0.004468900000574649
5,2,10,1.0,0.0,1,0.0034980000000359723
5,2,20,1.0,0.0,1,0.003897300000062387
5,2,30,1.0,0.0,1,0.004434733999914897
6,2,20,1.0,0.0,1,0.0048835480001798715
6,1,30,1.0,0.0,1,0.0037130000000615837
7,1,20,1.0,0.0,1,0.003694500000165135
7,3,5,1.0,0.0,1,0.003523198000038974
6,3,20,1.0,0.0,1,0.004448501000297256
8,3,20,1.0,0.0,1,0.00444100000004255
8,3,10,1.0,0.0,1,0.004346300000179326
8,3,5,1.0,0.0,1,0.003503500999613607
7,3,30,1.0,0.0,1,0.00676370000019233
7,3,20,1.0,0.0,1,0.004518300000199815
7,3,10,1.0,0.0,1,0.0037621999999828404
6,3,30,1.0,0.0,1,0.0051330999995116144
6,2,10,1.0,0.0,1,0.004276001000107499
6,3,5,1.0,0.0,1,0.003462199998466531
6,3,10,1.0,0.0,1,0.004130499999519088
6,2,5,0.9975609756097561,0.0024390243902439046,35,0.003352199999426375
8,1,10,0.9975609756097561,0.0024390243902439046,35,0.003304300000309013
5,2,5,0.9975609756097561,0.0024390243902439046,35,0.0033533000005263602
8,2,5,0.9975609756097561,0.0024390243902439046,35,0.0033504000002722023
7,2,5,0.9975609756097561,0.0024390243902439046,35,0.0035688000007212395
6,3,2,0.9963414634146341,0.003658536585365857,40,0.003504399999656016
8,3,3,0.9963414634146341,0.003658536585365857,40,0.0032851010000740644
8,3,2,0.9963414634146341,0.003658536585365857,40,0.003217499999664142
7,2,2,0.9963414634146341,0.003658536585365857,40,0.0031273000004148344
7,1,10,0.9963414634146341,0.003658536585365857,40,0.0033153000003949273
6,1,10,0.9963414634146341,0.003658536585365857,40,0.00317189999987022
5,1,30,0.9963414634146341,0.003658536585365857,40,0.0035397999999986496
8,2,2,0.9963414634146341,0.003658536585365857,40,0.0033524999998917338
6,3,3,0.9963414634146341,0.003658536585365857,40,0.0032851999985723523
7,3,3,0.9963414634146341,0.003658536585365857,40,0.0033595010008866666
7,3,2,0.9963414634146341,0.003658536585365857,40,0.0033914000014192425
5,1,20,0.9963414634146341,0.003658536585365857,40,0.0034962000008817995
5,1,10,0.9963414634146341,0.003658536585365857,40,0.0033024010008375626
5,3,2,0.9951219512195122,0.004878048780487809,53,0.0032733010011725128
5,3,3,0.9951219512195122,0.004878048780487809,53,0.0035584999986895127
7,2,3,0.9939024390243902,0.0060975609756097615,55,0.003456099000686663
8,2,3,0.9939024390243902,0.0060975609756097615,55,0.0034766000007948605
6,2,2,0.9939024390243902,0.0060975609756097615,55,0.003143099000226357
6,2,3,0.9939024390243902,0.0060975609756097615,55,0.0033249000007344875
5,2,3,0.9926829268292683,0.007317073170731714,59,0.003876899998431327
5,2,2,0.9926829268292683,0.007317073170731714,59,0.0034202999995613936
6,1,5,0.9878048780487805,0.012195121951219523,61,0.003200499999366002
8,1,5,0.9853658536585366,0.014634146341463428,62,0.004993399999875692
7,1,5,0.9853658536585366,0.014634146341463428,62,0.003166699998473632
8,1,3,0.9841463414634146,0.01585365853658538,64,0.0030940000015107216
5,1,5,0.9841463414634146,0.01585365853658538,64,0.003241300000809133
7,1,3,0.9841463414634146,0.01585365853658538,64,0.003055000001040753
6,1,3,0.9817073170731707,0.018292682926829285,67,0.003510299999106792
7,1,2,0.9804878048780488,0.019512195121951237,68,0.0033349999994243262
6,1,2,0.9792682926829268,0.02073170731707319,69,0.0031975000001693843
8,1,2,0.9792682926829268,0.02073170731707319,69,0.003448900000876165
5,1,3,0.9792682926829268,0.02073170731707319,69,0.0031660999993619043
5,1,2,0.9780487804878049,0.02195121951219514,72,0.0031649000011384487
4,3,10,0.974390243902439,0.025609756097561,73,0.004019400001197937
4,3,30,0.974390243902439,0.025609756097561,73,0.005178000001251348
4,3,20,0.974390243902439,0.025609756097561,73,0.0043578999993769685
4,2,30,0.9719512195121951,0.028048780487804903,76,0.004866299999775947
4,2,20,0.9719512195121951,0.028048780487804903,76,0.004188899998553097
4,2,10,0.9719512195121951,0.028048780487804903,76,0.0034791999987646705
4,3,5,0.9695121951219512,0.030487804878048808,79,0.003435300001001451
4,3,3,0.9646341463414634,0.03536585365853656,80,0.003414400000110618
4,2,5,0.9646341463414634,0.03536585365853656,80,0.003251000000091153
4,3,2,0.9621951219512195,0.037804878048780466,82,0.00331479999840667
4,2,3,0.9621951219512195,0.037804878048780466,82,0.0035944999999628635
4,2,2,0.9597560975609756,0.04024390243902437,84,0.0031287000001611887
4,1,2,0.9597560975609756,0.04024390243902437,84,0.003355099999680533
4,1,3,0.9597560975609756,0.04024390243902437,84,0.0034952000005432637
4,1,5,0.9597560975609756,0.04024390243902437,84,0.003279399999883026
4,1,10,0.9597560975609756,0.04024390243902437,84,0.005456099999719299
4,1,20,0.9597560975609756,0.04024390243902437,84,0.003756000000066706
4,1,30,0.9597560975609756,0.04024390243902437,84,0.003943399999116082
3,3,20,0.9512195121951219,0.04878048780487804,91,0.004565700000966899
3,3,10,0.9512195121951219,0.04878048780487804,91,0.004305399999793735
3,2,30,0.9512195121951219,0.04878048780487804,91,0.004333700000643148
3,2,20,0.9512195121951219,0.04878048780487804,91,0.003585200000088662
3,2,10,0.9512195121951219,0.04878048780487804,91,0.00327580000157468
3,2,5,0.9512195121951219,0.04878048780487804,91,0.003144899999824702
3,2,3,0.9512195121951219,0.04878048780487804,91,0.003367699999216711
3,3,2,0.9512195121951219,0.04878048780487804,91,0.0030762999995204154
3,2,2,0.9512195121951219,0.04878048780487804,91,0.0028638000003411435
3,3,3,0.9512195121951219,0.04878048780487804,91,0.0031260000014299294
3,3,5,0.9512195121951219,0.04878048780487804,91,0.0033571000003576046
3,3,30,0.9512195121951219,0.04878048780487804,91,0.004996600000595208
3,1,3,0.9134146341463414,0.037804878048780466,103,0.0030874999993102392
3,1,30,0.9134146341463414,0.037804878048780466,103,0.00335090000044147
3,1,20,0.9134146341463414,0.037804878048780466,103,0.0032517999989067903
3,1,10,0.9134146341463414,0.037804878048780466,103,0.0029899000001023524
